Model,permno,evtdate,cret,car,bhar,nrets,nrets_est
Market-Adjusted Model,12098,2022-03-16,-0.042354024,-0.095942868,-0.105869616,21,100
Market-Adjusted Model,12103,2022-03-16,-0.033478895,-0.096535412,-0.096994488,21,100
Market-Adjusted Model,12105,2022-03-16,0.0145852874,-0.046900441,-0.048930305,21,100
Market-Adjusted Model,12109,2022-03-16,0.176266547,0.1063919545,0.1127509546,21,100
Market-Adjusted Model,12146,2022-03-16,0.0324594542,-0.022335309,-0.031056138,21,100
Market-Adjusted Model,12166,2022-03-16,-0.003976139,-0.064056278,-0.067491732,21,100
Market-Adjusted Model,12189,2022-03-16,-0.009392724,-0.071512917,-0.072908317,21,100
Market-Adjusted Model,12209,2022-03-16,0.1645767543,0.1088711874,0.1010611619,21,100
Market-Adjusted Model,12211,2022-03-16,0.1967504227,0.1188410918,0.1332348303,21,100
Market-Adjusted Model,12219,2022-03-16,-0.052453764,-0.098377401,-0.115969356,21,100
Market-Adjusted Model,12226,2022-03-16,0.0868020006,0.0276385053,0.0232864082,21,100
Market-Adjusted Model,12266,2022-03-16,0.0761808088,0.0209409199,0.0126652164,21,100
Market-Adjusted Model,12287,2022-03-16,-0.049754325,-0.112477778,-0.113269917,21,100
Market-Adjusted Model,12289,2022-03-16,-0.03097388,-0.095144447,-0.094489472,21,100
Market-Adjusted Model,12292,2022-03-16,0.0894573982,0.0236546552,0.0259418058,21,100
Market-Adjusted Model,12293,2022-03-16,-0.023560185,-0.075505005,-0.087075777,21,100
Market-Adjusted Model,12294,2022-03-16,0.0798110905,0.0165640512,0.0162954981,21,100
Market-Adjusted Model,12295,2022-03-16,0.0607727317,-0.003984515,-0.002742861,21,100
Market-Adjusted Model,12296,2022-03-16,0.0346546052,-0.028361281,-0.028860987,21,100
Market-Adjusted Model,12297,2022-03-16,0.0336592884,-0.028007871,-0.029856304,21,100
Market-Adjusted Model,12301,2022-03-16,0.0341319849,-0.028312696,-0.029383607,21,100
Market-Adjusted Model,12302,2022-03-16,0.0581699674,-0.005278542,-0.005345625,21,100
Market-Adjusted Model,12303,2022-03-16,0.0390777052,-0.022071625,-0.024437887,21,100
Market-Adjusted Model,12304,2022-03-16,0.0486001451,-0.013680634,-0.014915447,21,100
Market-Adjusted Model,12305,2022-03-16,0.0700890743,0.0058077974,0.0065734819,21,100
Market-Adjusted Model,12307,2022-03-16,-0.067085999,-0.098864061,-0.130601592,21,100
Market-Adjusted Model,12308,2022-03-16,-0.041396233,-0.10403895,-0.104911826,21,100
Market-Adjusted Model,12310,2022-03-16,0.1034482546,0.0743009966,0.0399326622,21,100
Market-Adjusted Model,12313,2022-03-16,0.0666306887,0.0027020394,0.0031150963,21,100
Market-Adjusted Model,12314,2022-03-16,0.0721778807,0.0097822655,0.0086622883,21,100
Market-Adjusted Model,12315,2022-03-16,0.0603940211,-0.00425888,-0.003121571,21,100
Market-Adjusted Model,12316,2022-03-16,0.0656879223,0.0018911182,0.0021723299,21,100
Market-Adjusted Model,12317,2022-03-16,0.0356450905,-0.024040727,-0.027870502,21,100
